mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__max_depth,param_vectorization,param_vectorization__max_features,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.452146577835083,0.07667788755071306,0.034600019454956055,0.011601249552603035,,CountVectorizer(),1000,"{'classifier__max_depth': None, 'vectorization': CountVectorizer(), 'vectorization__max_features': 1000}",0.8547322083639032,0.8576669112252384,0.855465884079237,0.8796771826852531,0.8876651982378855,0.8670414769183035,0.013844810328426266,24,0.9655109154283618,0.965327462850853,0.9682627040909925,0.9664281783159053,0.9668011738811445,0.9664660869134514,0.0010536005829703847
0.3312039375305176,0.033392808273446414,0.015885591506958008,0.0020863544212404916,,CountVectorizer(),1500,"{'classifier__max_depth': None, 'vectorization': CountVectorizer(), 'vectorization__max_features': 1500}",0.8547322083639032,0.8708730741012473,0.8613352898019075,0.8877476155539251,0.8906020558002937,0.8730580487242554,0.014153509626203714,23,0.9675288937809576,0.9669785360484314,0.9699137772885709,0.9675288937809576,0.9679016874541453,0.9679703576706127,0.0010153901981070532
0.3550786018371582,0.023829162933636388,0.018860387802124023,0.005492906948122192,,CountVectorizer(),2000,"{'classifier__max_depth': None, 'vectorization': CountVectorizer(), 'vectorization__max_features': 2000}",0.8569332355099046,0.8679383712399119,0.8686720469552458,0.8818782098312545,0.8942731277533039,0.873938998257924,0.012879846039584392,22,0.9682627040909925,0.9673454412034489,0.9704641350210971,0.9680792515134837,0.9688187820983125,0.968594062785467,0.001047048615995123
0.40005741119384763,0.04741291771605997,0.015375041961669922,0.000560614480094071,,CountVectorizer(),5000,"{'classifier__max_depth': None, 'vectorization': CountVectorizer(), 'vectorization__max_features': 5000}",0.8686720469552458,0.8811445341159208,0.8598679383712399,0.888481291269259,0.8972099853157122,0.8790751592054755,0.013407248991764213,18,0.9688130618235187,0.9680792515134837,0.9708310401761144,0.969179966978536,0.969369038884813,0.9692544718752931,0.0009033526353628052
0.4372673988342285,0.047203791948897185,0.01543126106262207,0.0003935802927410921,,TfidfVectorizer(),1000,"{'classifier__max_depth': None, 'vectorization': TfidfVectorizer(), 'vectorization__max_features': 1000}",0.8650036683785767,0.8811445341159208,0.871606749816581,0.8862802641232576,0.8788546255506607,0.8765779683969994,0.007467913600344736,21,0.9655109154283618,0.965327462850853,0.9682627040909925,0.9664281783159053,0.9668011738811445,0.9664660869134514,0.0010536005829703847
0.4294548988342285,0.04018275605619057,0.01306324005126953,0.0035171243069000804,,TfidfVectorizer(),1500,"{'classifier__max_depth': None, 'vectorization': TfidfVectorizer(), 'vectorization__max_features': 1500}",0.8840792369772561,0.8811445341159208,0.8701393983859135,0.888481291269259,0.8906020558002937,0.8828893033097286,0.007180210547878844,6,0.9675288937809576,0.9669785360484314,0.9699137772885709,0.9675288937809576,0.9679016874541453,0.9679703576706127,0.0010153901981070532
0.479970645904541,0.05970724866723544,0.016811943054199217,0.002374207437387616,,TfidfVectorizer(),2000,"{'classifier__max_depth': None, 'vectorization': TfidfVectorizer(), 'vectorization__max_features': 2000}",0.8774761555392516,0.8767424798239178,0.8745414526779164,0.8899486426999267,0.8898678414096917,0.8817153144301407,0.0067589235106404605,13,0.9682627040909925,0.9673454412034489,0.9704641350210971,0.9680792515134837,0.9688187820983125,0.968594062785467,0.001047048615995123
0.49363861083984373,0.07833163000069102,0.017169857025146486,0.003553403315185734,,TfidfVectorizer(),5000,"{'classifier__max_depth': None, 'vectorization': TfidfVectorizer(), 'vectorization__max_features': 5000}",0.8738077769625825,0.8840792369772561,0.8664710198092443,0.8914159941305942,0.8883994126284875,0.880834688101633,0.009331759092710406,16,0.9688130618235187,0.9680792515134837,0.9708310401761144,0.969179966978536,0.969369038884813,0.9692544718752931,0.0009033526353628052
0.06871814727783203,0.01017192177376013,0.017409753799438477,0.005048570823793372,5,CountVectorizer(),1000,"{'classifier__max_depth': 5, 'vectorization': CountVectorizer(), 'vectorization__max_features': 1000}",0.871606749816581,0.8906823184152605,0.871606749816581,0.8877476155539251,0.8876651982378855,0.8818617263680467,0.00844341056040795,12,0.8926802421574023,0.8893780957622455,0.8910291689598239,0.8913960741148413,0.8895818048422597,0.8908130771673145,0.0012204990270512123
0.07705845832824706,0.007072223162513197,0.015092754364013672,0.0018391919040715535,5,CountVectorizer(),1500,"{'classifier__max_depth': 5, 'vectorization': CountVectorizer(), 'vectorization__max_features': 1500}",0.871606749816581,0.888481291269259,0.8723404255319149,0.8877476155539251,0.8891336270190896,0.8818619418381539,0.00808903682176732,11,0.8926802421574023,0.8893780957622455,0.8910291689598239,0.8913960741148413,0.8895818048422597,0.8908130771673145,0.0012204990270512123
0.08031697273254394,0.010671711192798052,0.01704864501953125,0.0038935520455581694,5,CountVectorizer(),2000,"{'classifier__max_depth': 5, 'vectorization': CountVectorizer(), 'vectorization__max_features': 2000}",0.871606749816581,0.8906823184152605,0.8723404255319149,0.888481291269259,0.8876651982378855,0.8821551966541803,0.008374853538155284,9,0.8926802421574023,0.8893780957622455,0.8910291689598239,0.8913960741148413,0.8895818048422597,0.8908130771673145,0.0012204990270512123
