mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__C,param_classifier__class_weight,param_classifier__l1_ratio,param_classifier__penalty,param_classifier__solver,param_vectorization,param_vectorization__max_features,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.7633787631988526,0.25002853991360724,0.030379343032836913,0.007063574479486365,0.1,balanced,0.4,elasticnet,saga,CountVectorizer(),1000,"{'classifier__C': 0.1, 'classifier__class_weight': 'balanced', 'classifier__l1_ratio': 0.4, 'classifier__penalty': 'elasticnet', 'classifier__solver': 'saga', 'vectorization': CountVectorizer(), 'vectorization__max_features': 1000}",0.8840792369772561,0.8972853998532648,0.8870139398385913,0.9075568598679383,0.895741556534508,0.8943353986143118,0.008297944748158906,25,0.9036873968079252,0.9036873968079252,0.9049715648504861,0.900568702990277,0.8974688187820983,0.9020767760477424,0.0027230701492032693
0.5379051208496094,0.13633391464083539,0.01916956901550293,0.007124766223870819,0.1,balanced,0.4,elasticnet,saga,CountVectorizer(),1500,"{'classifier__C': 0.1, 'classifier__class_weight': 'balanced', 'classifier__l1_ratio': 0.4, 'classifier__penalty': 'elasticnet', 'classifier__solver': 'saga', 'vectorization': CountVectorizer(), 'vectorization__max_features': 1500}",0.8840792369772561,0.8972853998532648,0.8870139398385913,0.9075568598679383,0.895741556534508,0.8943353986143118,0.008297944748158906,25,0.9036873968079252,0.9036873968079252,0.9049715648504861,0.900568702990277,0.8974688187820983,0.9020767760477424,0.0027230701492032693
0.5938058853149414,0.1242739952576929,0.022585105895996094,0.008966077627303953,0.1,balanced,0.4,elasticnet,saga,CountVectorizer(),2000,"{'classifier__C': 0.1, 'classifier__class_weight': 'balanced', 'classifier__l1_ratio': 0.4, 'classifier__penalty': 'elasticnet', 'classifier__solver': 'saga', 'vectorization': CountVectorizer(), 'vectorization__max_features': 2000}",0.8840792369772561,0.8972853998532648,0.8870139398385913,0.9075568598679383,0.895741556534508,0.8943353986143118,0.008297944748158906,25,0.9036873968079252,0.9036873968079252,0.9049715648504861,0.900568702990277,0.8974688187820983,0.9020767760477424,0.0027230701492032693
0.7712881565093994,0.2040172011826232,0.02581171989440918,0.009150988260654271,0.1,balanced,0.4,elasticnet,saga,CountVectorizer(),5000,"{'classifier__C': 0.1, 'classifier__class_weight': 'balanced', 'classifier__l1_ratio': 0.4, 'classifier__penalty': 'elasticnet', 'classifier__solver': 'saga', 'vectorization': CountVectorizer(), 'vectorization__max_features': 5000}",0.8840792369772561,0.8972853998532648,0.8870139398385913,0.9075568598679383,0.895741556534508,0.8943353986143118,0.008297944748158906,25,0.9036873968079252,0.9036873968079252,0.9049715648504861,0.900568702990277,0.8974688187820983,0.9020767760477424,0.0027230701492032693
0.23712406158447266,0.07989577740205137,0.024477672576904298,0.01631375427987556,0.1,balanced,0.4,elasticnet,saga,TfidfVectorizer(),1000,"{'classifier__C': 0.1, 'classifier__class_weight': 'balanced', 'classifier__l1_ratio': 0.4, 'classifier__penalty': 'elasticnet', 'classifier__solver': 'saga', 'vectorization': TfidfVectorizer(), 'vectorization__max_features': 1000}",0.8459280997798972,0.8495964783565664,0.8290535583272194,0.855465884079237,0.8502202643171806,0.8460528569720202,0.009027971362280899,67,0.8574573472757292,0.8482847184002935,0.8418638781874885,0.8310401761144744,0.8506969919295672,0.8458686223815105,0.008937225653326565
0.27479968070983884,0.03072651717337396,0.03602609634399414,0.005498362223326553,0.1,balanced,0.4,elasticnet,saga,TfidfVectorizer(),1500,"{'classifier__C': 0.1, 'classifier__class_weight': 'balanced', 'classifier__l1_ratio': 0.4, 'classifier__penalty': 'elasticnet', 'classifier__solver': 'saga', 'vectorization': TfidfVectorizer(), 'vectorization__max_features': 1500}",0.8459280997798972,0.8539985326485693,0.8268525311812179,0.8576669112252384,0.8502202643171806,0.8469332678304207,0.010771998519922681,66,0.8488350761328197,0.8490185287103283,0.8431480462300496,0.8341588699321225,0.8492296404988995,0.8448780323008439,0.005824632074331753
0.18056316375732423,0.037874335479774646,0.018523597717285158,0.006469527633508513,0.1,balanced,0.4,elasticnet,saga,TfidfVectorizer(),2000,"{'classifier__C': 0.1, 'classifier__class_weight': 'balanced', 'classifier__l1_ratio': 0.4, 'classifier__penalty': 'elasticnet', 'classifier__solver': 'saga', 'vectorization': TfidfVectorizer(), 'vectorization__max_features': 2000}",0.8422597212032281,0.8532648569332355,0.8297872340425532,0.8650036683785767,0.8546255506607929,0.8489882062436773,0.012004284776695105,64,0.8484681709778022,0.8449825720051367,0.8407631627224362,0.8350761328196661,0.8501467351430667,0.8438873547336216,0.005454565588287374
0.22762618064880372,0.05223703843277191,0.015919828414916994,0.010229590068367487,0.1,balanced,0.4,elasticnet,saga,TfidfVectorizer(),5000,"{'classifier__C': 0.1, 'classifier__class_weight': 'balanced', 'classifier__l1_ratio': 0.4, 'classifier__penalty': 'elasticnet', 'classifier__solver': 'saga', 'vectorization': TfidfVectorizer(), 'vectorization__max_features': 5000}",0.8473954512105649,0.8584005869405723,0.8356566397652238,0.8686720469552458,0.8619676945668135,0.8544184838876842,0.011639085613415224,62,0.855072463768116,0.8552559163456247,0.8405797101449275,0.8359933957072097,0.8556493030080704,0.8485101577947896,0.008474642713109647
0.5212437629699707,0.02793907395834084,0.018669319152832032,0.006400554864441212,0.1,balanced,0.5,elasticnet,saga,CountVectorizer(),1000,"{'classifier__C': 0.1, 'classifier__class_weight': 'balanced', 'classifier__l1_ratio': 0.5, 'classifier__penalty': 'elasticnet', 'classifier__solver': 'saga', 'vectorization': CountVectorizer(), 'vectorization__max_features': 1000}",0.8848129126925899,0.8906823184152605,0.8855465884079237,0.9060895084372708,0.8928046989720999,0.891987205385029,0.007670697488867671,32,0.9016694184553293,0.8963492937075765,0.9033204916529077,0.8998348926802422,0.8960014673514307,0.8994351127694973,0.0028830648651166826
0.7409943580627442,0.27860432593562706,0.028044652938842774,0.010390936782924876,0.1,balanced,0.5,elasticnet,saga,CountVectorizer(),1500,"{'classifier__C': 0.1, 'classifier__class_weight': 'balanced', 'classifier__l1_ratio': 0.5, 'classifier__penalty': 'elasticnet', 'classifier__solver': 'saga', 'vectorization': CountVectorizer(), 'vectorization__max_features': 1500}",0.8848129126925899,0.8906823184152605,0.8855465884079237,0.9068231841526045,0.8928046989720999,0.8921339405280957,0.007941305414505035,31,0.9016694184553293,0.8963492937075765,0.9033204916529077,0.899284534947716,0.8960014673514307,0.8993250412229921,0.0028761983957640443
