mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__max_depth,param_vectorization,param_vectorization__max_features,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.7069982528686524,0.06291239641587633,0.04028186798095703,0.009858639359107963,,CountVectorizer(),1000,"{'classifier__max_depth': None, 'vectorization': CountVectorizer(), 'vectorization__max_features': 1000}",0.855465884079237,0.8576669112252384,0.8584005869405723,0.8840792369772561,0.8847283406754772,0.8680681919795562,0.013374464545715071,24,0.9655109154283618,0.965327462850853,0.9682627040909925,0.9664281783159053,0.9668011738811445,0.9664660869134514,0.0010536005829703847
0.4633397102355957,0.11005070718250581,0.019704627990722656,0.004502580062491915,,CountVectorizer(),1500,"{'classifier__max_depth': None, 'vectorization': CountVectorizer(), 'vectorization__max_features': 1500}",0.8532648569332355,0.8694057226705796,0.8561995597945709,0.8862802641232576,0.8898678414096917,0.871003648986267,0.015004078743051676,23,0.9675288937809576,0.9669785360484314,0.9699137772885709,0.9675288937809576,0.9679016874541453,0.9679703576706127,0.0010153901981070532
0.5376927852630615,0.12913471001142376,0.026486015319824217,0.007561769486189271,,CountVectorizer(),2000,"{'classifier__max_depth': None, 'vectorization': CountVectorizer(), 'vectorization__max_features': 2000}",0.8606016140865738,0.8679383712399119,0.8642699926632429,0.8796771826852531,0.8928046989720999,0.8730583719294163,0.011767301480288926,22,0.9682627040909925,0.9673454412034489,0.9704641350210971,0.9680792515134837,0.9688187820983125,0.968594062785467,0.001047048615995123
0.6957167625427246,0.19932753727008384,0.02553567886352539,0.011364673999550727,,CountVectorizer(),5000,"{'classifier__max_depth': None, 'vectorization': CountVectorizer(), 'vectorization__max_features': 5000}",0.8664710198092443,0.8723404255319149,0.8657373440939105,0.8870139398385913,0.895007342143906,0.8773140142835134,0.01169161078267059,20,0.9688130618235187,0.9680792515134837,0.9708310401761144,0.969179966978536,0.969369038884813,0.9692544718752931,0.0009033526353628052
0.7900118827819824,0.11489070701706763,0.03403115272521973,0.00985066289056654,,TfidfVectorizer(),1000,"{'classifier__max_depth': None, 'vectorization': TfidfVectorizer(), 'vectorization__max_features': 1000}",0.8694057226705796,0.8796771826852531,0.8679383712399119,0.8877476155539251,0.8795888399412628,0.8768715464181864,0.007335997570815716,21,0.9655109154283618,0.965327462850853,0.9682627040909925,0.9664281783159053,0.9668011738811445,0.9664660869134514,0.0010536005829703847
0.5575123310089112,0.11281168930589743,0.022602224349975587,0.012373827822351741,,TfidfVectorizer(),1500,"{'classifier__max_depth': None, 'vectorization': TfidfVectorizer(), 'vectorization__max_features': 1500}",0.8862802641232576,0.8848129126925899,0.8701393983859135,0.8811445341159208,0.8891336270190896,0.8823021472673542,0.006604104797767996,8,0.9675288937809576,0.9669785360484314,0.9699137772885709,0.9675288937809576,0.9679016874541453,0.9679703576706127,0.0010153901981070532
0.5488525390625,0.09752181384597872,0.01805882453918457,0.0046309331616086824,,TfidfVectorizer(),2000,"{'classifier__max_depth': None, 'vectorization': TfidfVectorizer(), 'vectorization__max_features': 2000}",0.8767424798239178,0.8782098312545855,0.8774761555392516,0.8877476155539251,0.8928046989720999,0.882596156228756,0.006488014479232724,7,0.9682627040909925,0.9673454412034489,0.9704641350210971,0.9680792515134837,0.9688187820983125,0.968594062785467,0.001047048615995123
0.5660494327545166,0.11856098310098774,0.023499584197998045,0.008574973475055812,,TfidfVectorizer(),5000,"{'classifier__max_depth': None, 'vectorization': TfidfVectorizer(), 'vectorization__max_features': 5000}",0.8679383712399119,0.8796771826852531,0.8701393983859135,0.8906823184152605,0.8876651982378855,0.879220493792845,0.009084575990906113,17,0.9688130618235187,0.9680792515134837,0.9708310401761144,0.969179966978536,0.969369038884813,0.9692544718752931,0.0009033526353628052
0.1379143238067627,0.02095442904843182,0.02566533088684082,0.012566526521570183,5,CountVectorizer(),1000,"{'classifier__max_depth': 5, 'vectorization': CountVectorizer(), 'vectorization__max_features': 1000}",0.8694057226705796,0.8899486426999267,0.871606749816581,0.8870139398385913,0.8898678414096917,0.8815685792870742,0.009120617233410835,13,0.8926802421574023,0.8893780957622455,0.8910291689598239,0.8913960741148413,0.8895818048422597,0.8908130771673145,0.0012204990270512123
0.08409790992736817,0.006471974223802097,0.01406865119934082,0.003272388623327876,5,CountVectorizer(),1500,"{'classifier__max_depth': 5, 'vectorization': CountVectorizer(), 'vectorization__max_features': 1500}",0.871606749816581,0.8906823184152605,0.8723404255319149,0.8877476155539251,0.8891336270190896,0.8823021472673542,0.008487366322846553,8,0.8926802421574023,0.8893780957622455,0.8910291689598239,0.8913960741148413,0.8895818048422597,0.8908130771673145,0.0012204990270512123
0.08825492858886719,0.016276656463151525,0.011324310302734375,0.0062383471284526565,5,CountVectorizer(),2000,"{'classifier__max_depth': 5, 'vectorization': CountVectorizer(), 'vectorization__max_features': 2000}",0.8701393983859135,0.8906823184152605,0.871606749816581,0.8877476155539251,0.8876651982378855,0.8815682560819132,0.008812192856076389,14,0.8926802421574023,0.8893780957622455,0.8910291689598239,0.8913960741148413,0.8895818048422597,0.8908130771673145,0.0012204990270512123
