mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__C,param_classifier__class_weight,param_classifier__l1_ratio,param_classifier__penalty,param_classifier__solver,param_vectorization,param_vectorization__max_features,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
1.0921451568603515,0.22500019770349663,0.042919063568115236,0.006572727686224167,0.1,balanced,0.4,elasticnet,saga,CountVectorizer(),1000,"{'classifier__C': 0.1, 'classifier__class_weight': 'balanced', 'classifier__l1_ratio': 0.4, 'classifier__penalty': 'elasticnet', 'classifier__solver': 'saga', 'vectorization': CountVectorizer(), 'vectorization__max_features': 1000}",0.8840792369772561,0.8972853998532648,0.8870139398385913,0.9075568598679383,0.895741556534508,0.8943353986143118,0.008297944748158906,25,0.9036873968079252,0.9036873968079252,0.9049715648504861,0.900568702990277,0.8974688187820983,0.9020767760477424,0.0027230701492032693
0.6702014923095703,0.13017436523765769,0.02286667823791504,0.0069904406584581635,0.1,balanced,0.4,elasticnet,saga,CountVectorizer(),1500,"{'classifier__C': 0.1, 'classifier__class_weight': 'balanced', 'classifier__l1_ratio': 0.4, 'classifier__penalty': 'elasticnet', 'classifier__solver': 'saga', 'vectorization': CountVectorizer(), 'vectorization__max_features': 1500}",0.8840792369772561,0.8972853998532648,0.8870139398385913,0.9075568598679383,0.895741556534508,0.8943353986143118,0.008297944748158906,25,0.9036873968079252,0.9036873968079252,0.9049715648504861,0.900568702990277,0.8974688187820983,0.9020767760477424,0.0027230701492032693
0.7566228389739991,0.06938580504559659,0.024526691436767577,0.006509418367431708,0.1,balanced,0.4,elasticnet,saga,CountVectorizer(),2000,"{'classifier__C': 0.1, 'classifier__class_weight': 'balanced', 'classifier__l1_ratio': 0.4, 'classifier__penalty': 'elasticnet', 'classifier__solver': 'saga', 'vectorization': CountVectorizer(), 'vectorization__max_features': 2000}",0.8840792369772561,0.8972853998532648,0.8870139398385913,0.9075568598679383,0.895741556534508,0.8943353986143118,0.008297944748158906,25,0.9036873968079252,0.9035039442304165,0.9049715648504861,0.900568702990277,0.8974688187820983,0.9020400855322406,0.0027022780762266494
0.8174761772155762,0.1856988834751854,0.026171016693115234,0.01009883224645344,0.1,balanced,0.4,elasticnet,saga,CountVectorizer(),5000,"{'classifier__C': 0.1, 'classifier__class_weight': 'balanced', 'classifier__l1_ratio': 0.4, 'classifier__penalty': 'elasticnet', 'classifier__solver': 'saga', 'vectorization': CountVectorizer(), 'vectorization__max_features': 5000}",0.8840792369772561,0.8972853998532648,0.8870139398385913,0.9075568598679383,0.895741556534508,0.8943353986143118,0.008297944748158906,25,0.9036873968079252,0.9036873968079252,0.9049715648504861,0.900568702990277,0.8974688187820983,0.9020767760477424,0.0027230701492032693
0.20856037139892578,0.05276941400400405,0.022786474227905272,0.0061397648194591896,0.1,balanced,0.4,elasticnet,saga,TfidfVectorizer(),1000,"{'classifier__C': 0.1, 'classifier__class_weight': 'balanced', 'classifier__l1_ratio': 0.4, 'classifier__penalty': 'elasticnet', 'classifier__solver': 'saga', 'vectorization': TfidfVectorizer(), 'vectorization__max_features': 1000}",0.8459280997798972,0.8495964783565664,0.8297872340425532,0.855465884079237,0.8524229074889867,0.8466401207494482,0.0089955715254353,67,0.8574573472757292,0.847917813245276,0.8435149513850669,0.8310401761144744,0.8508804108584006,0.8461621397757894,0.008815980661926003
0.2619923114776611,0.04448675347566853,0.030245161056518553,0.005744991285186854,0.1,balanced,0.4,elasticnet,saga,TfidfVectorizer(),1500,"{'classifier__C': 0.1, 'classifier__class_weight': 'balanced', 'classifier__l1_ratio': 0.4, 'classifier__penalty': 'elasticnet', 'classifier__solver': 'saga', 'vectorization': TfidfVectorizer(), 'vectorization__max_features': 1500}",0.8459280997798972,0.851063829787234,0.8297872340425532,0.8576669112252384,0.8502202643171806,0.8469332678304207,0.00936027591446585,66,0.8490185287103283,0.8455329297376628,0.8449825720051367,0.8339754173546138,0.8492296404988995,0.8445478176613281,0.005564922780306513
0.28033971786499023,0.048709368472812174,0.0355628490447998,0.006161101471027482,0.1,balanced,0.4,elasticnet,saga,TfidfVectorizer(),2000,"{'classifier__C': 0.1, 'classifier__class_weight': 'balanced', 'classifier__l1_ratio': 0.4, 'classifier__penalty': 'elasticnet', 'classifier__solver': 'saga', 'vectorization': TfidfVectorizer(), 'vectorization__max_features': 2000}",0.8422597212032281,0.8532648569332355,0.8297872340425532,0.8650036683785767,0.8546255506607929,0.8489882062436773,0.012004284776695105,64,0.8484681709778022,0.8446156668501192,0.8407631627224362,0.8356264905521923,0.8499633162142333,0.8438873614633566,0.0052236783335579354
0.28807663917541504,0.038499168018672654,0.03694229125976563,0.012156163926818639,0.1,balanced,0.4,elasticnet,saga,TfidfVectorizer(),5000,"{'classifier__C': 0.1, 'classifier__class_weight': 'balanced', 'classifier__l1_ratio': 0.4, 'classifier__penalty': 'elasticnet', 'classifier__solver': 'saga', 'vectorization': TfidfVectorizer(), 'vectorization__max_features': 5000}",0.8473954512105649,0.8576669112252384,0.8341892883345561,0.8686720469552458,0.8619676945668135,0.8539782784584838,0.012068814016110301,63,0.855072463768116,0.8547055586130985,0.8400293524124014,0.8359933957072097,0.8549156272927366,0.8481432795587125,0.008371347386970332
0.5199511528015137,0.11515673961553662,0.017968082427978517,0.0037183868808449913,0.1,balanced,0.5,elasticnet,saga,CountVectorizer(),1000,"{'classifier__C': 0.1, 'classifier__class_weight': 'balanced', 'classifier__l1_ratio': 0.5, 'classifier__penalty': 'elasticnet', 'classifier__solver': 'saga', 'vectorization': CountVectorizer(), 'vectorization__max_features': 1000}",0.8848129126925899,0.8906823184152605,0.8855465884079237,0.9060895084372708,0.8928046989720999,0.891987205385029,0.007670697488867671,32,0.9016694184553293,0.8963492937075765,0.9033204916529077,0.8998348926802422,0.8960014673514307,0.8994351127694973,0.0028830648651166826
0.5948235034942627,0.1319815043337232,0.021172094345092773,0.012060123562608245,0.1,balanced,0.5,elasticnet,saga,CountVectorizer(),1500,"{'classifier__C': 0.1, 'classifier__class_weight': 'balanced', 'classifier__l1_ratio': 0.5, 'classifier__penalty': 'elasticnet', 'classifier__solver': 'saga', 'vectorization': CountVectorizer(), 'vectorization__max_features': 1500}",0.8848129126925899,0.8906823184152605,0.8855465884079237,0.9060895084372708,0.8928046989720999,0.891987205385029,0.007670697488867671,32,0.9016694184553293,0.8963492937075765,0.9033204916529077,0.8998348926802422,0.8960014673514307,0.8994351127694973,0.0028830648651166826
